Original Prediction,Adversary Prediction,Truth,epsilon
7,7,7,0.6
6,6,6,0.6
7,7,7,0.6
5,5,5,0.6
6,6,6,0.6
7,7,7,0.6
8,8,8,0.6
1,1,1,0.6
1,1,1,0.6
2,2,2,0.6
4,4,4,0.6
1,1,1,0.6
0,0,0,0.6
0,8,8,0.6
4,4,4,0.6
4,4,4,0.6
4,4,4,0.6
9,9,9,0.6
8,8,8,0.6
1,1,1,0.6
3,3,3,0.6
3,3,3,0.6
8,8,8,0.6
6,6,6,0.6
2,2,2,0.6
9,8,7,0.6
5,5,5,0.6
1,1,1,0.6
6,6,6,0.6
5,5,5,0.6
6,6,6,0.6
2,2,2,0.6
9,9,9,0.6
2,2,2,0.6
8,8,8,0.6
4,4,4,0.6
9,9,9,0.6
4,4,4,0.6
8,8,8,0.6
6,6,6,0.6
1,8,7,0.6
7,7,7,0.6
9,9,9,0.6
8,8,8,0.6
4,4,4,0.6
9,9,9,0.6
5,5,5,0.6
3,3,3,0.6
1,1,1,0.6
0,0,0,0.6
9,9,9,0.6
1,1,1,0.6
7,7,7,0.6
3,3,3,0.6
7,7,7,0.6
0,0,0,0.6
9,9,9,0.6
2,2,2,0.6
5,5,5,0.6
1,1,1,0.6
8,8,8,0.6
9,9,9,0.6
3,3,3,0.6
7,7,7,0.6
8,8,8,0.6
4,4,4,0.6
1,1,1,0.6
9,9,9,0.6
0,0,0,0.6
3,3,3,0.6
1,1,1,0.6
2,2,2,0.6
3,3,3,0.6
6,6,6,0.6
2,2,2,0.6
9,9,9,0.6
9,9,9,0.6
0,0,0,0.6
3,3,3,0.6
8,8,8,0.6
3,3,3,0.6
0,0,0,0.6
8,8,8,0.6
8,8,8,0.6
5,5,5,0.6
3,3,3,0.6
8,8,8,0.6
2,2,2,0.6
8,8,8,0.6
5,8,5,0.6
5,5,5,0.6
7,7,7,0.6
1,1,1,0.6
5,5,5,0.6
5,5,5,0.6
1,1,1,0.6
0,0,0,0.6
7,9,9,0.6
7,2,7,0.6
5,5,5,0.6
2,2,2,0.6
0,0,0,0.6
7,2,7,0.6
6,6,6,0.6
1,1,1,0.6
2,2,2,0.6
2,2,2,0.6
7,7,7,0.6
5,8,5,0.6
4,4,4,0.6
7,7,7,0.6
3,3,3,0.6
0,0,0,0.6
6,6,6,0.6
7,7,7,0.6
5,5,5,0.6
1,1,1,0.6
7,7,7,0.6
6,6,6,0.6
7,7,7,0.6
2,2,2,0.6
1,1,1,0.6
9,9,9,0.6
1,1,1,0.6
9,9,9,0.6
2,2,2,0.6
7,7,7,0.6
6,6,6,0.6
8,8,8,0.6
8,8,8,0.6
8,8,8,0.6
4,4,4,0.6
6,6,6,0.6
0,0,0,0.6
0,0,0,0.6
2,2,2,0.6
3,3,3,0.6
0,0,0,0.6
1,8,1,0.6
7,7,7,0.6
8,8,8,0.6
7,7,7,0.6
4,4,4,0.6
1,1,1,0.6
3,3,3,0.6
8,8,8,0.6
3,3,3,0.6
5,5,5,0.6
5,5,5,0.6
9,9,9,0.6
6,6,6,0.6
0,0,0,0.6
5,5,5,0.6
3,3,3,0.6
3,3,3,0.6
9,9,9,0.6
4,6,4,0.6
0,0,0,0.6
1,1,1,0.6
9,9,9,0.6
9,9,9,0.6
1,1,1,0.6
5,5,5,0.6
