standard_pred,mc_pred,mc_conf,cnn_adv,mc_adv,mc_conf,truth,epsilon
1,0,0.03840000000000001,0,0,0.24509999999999998,0,0.07
0,0,0.047499999999999994,1,1,0.0,0,0.07
0,0,0.0,0,1,0.23559999999999998,0,0.07
1,1,0.0,0,0,0.0,0,0.07
1,0,0.2379,0,0,0.0,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.038400000000000004,1,1,0.0,0,0.07
0,0,0.0,1,1,0.09,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,1,1,0.24360000000000007,0,0.07
0,0,0.0,1,1,0.24,0,0.07
0,0,0.0,0,1,0.1476,0,0.07
0,0,0.0,1,1,0.2059,0,0.07
0,0,0.009899999999999999,1,1,0.0,0,0.07
0,0,0.1824,1,1,0.0,0,0.07
0,0,0.0,1,0,0.23560000000000003,0,0.07
0,0,0.10559999999999999,1,1,0.0,0,0.07
0,0,0.0,0,0,0.09790000000000001,0,0.07
0,0,0.0,0,0,0.06509999999999999,0,0.07
0,0,0.2175999999999999,1,1,0.0,0,0.07
0,0,0.0,0,0,0.0384,0,0.07
0,0,0.0,0,1,0.22749999999999995,0,0.07
0,0,0.0,1,0,0.24959999999999996,0,0.07
0,0,0.0,0,0,0.19240000000000002,0,0.07
0,0,0.0,0,0,0.09,0,0.07
0,0,0.1056,1,1,0.029100000000000004,0,0.07
0,0,0.009899999999999997,1,1,0.0,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.009899999999999999,1,1,0.009899999999999999,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,0,1,0.17160000000000003,0,0.07
0,0,0.0,0,0,0.056400000000000006,0,0.07
0,0,0.0,0,0,0.24509999999999998,0,0.07
0,0,0.0,0,0,0.009899999999999999,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.009899999999999997,1,1,0.0,0,0.07
0,0,0.0,0,1,0.2015999999999999,0,0.07
0,0,0.0,1,1,0.15999999999999998,0,0.07
0,0,0.13440000000000002,1,1,0.0,0,0.07
1,0,0.16000000000000003,0,0,0.0,0,0.07
0,0,0.0,0,0,0.24,0,0.07
0,0,0.09,1,1,0.0,0,0.07
0,0,0.0,0,0,0.04750000000000001,0,0.07
0,0,0.0,0,0,0.09789999999999999,0,0.07
0,0,0.0,0,0,0.1875,0,0.07
0,0,0.0,0,0,0.1875,0,0.07
0,0,0.0,1,1,0.0651,0,0.07
0,0,0.0,0,0,0.17160000000000003,0,0.07
0,0,0.0,1,0,0.23560000000000006,0,0.07
0,0,0.0,0,0,0.2499,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,0,0,0.08190000000000003,0,0.07
0,0,0.0,1,1,0.16000000000000003,0,0.07
0,0,0.0,0,1,0.24959999999999996,0,0.07
0,0,0.0,0,1,0.24989999999999996,0,0.07
0,0,0.0,1,1,0.009899999999999999,0,0.07
0,0,0.0,1,1,0.047500000000000035,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,1,1,0.009899999999999997,0,0.07
0,0,0.0,1,0,0.24839999999999995,0,0.07
0,1,0.1824,0,0,0.0,0,0.07
0,0,0.0,1,1,0.17160000000000003,0,0.07
0,0,0.0,1,1,0.12040000000000001,0,0.07
0,0,0.0,0,0,0.009899999999999997,0,0.07
0,0,0.0,0,1,0.23560000000000006,0,0.07
0,0,0.0,0,0,0.0475,0,0.07
0,0,0.0,0,0,0.0,0,0.07
0,0,0.0,1,1,0.0384,0,0.07
0,0,0.24,1,1,0.0,0,0.07
0,0,0.0,0,0,0.14760000000000004,0,0.07
0,0,0.0,1,1,0.22749999999999995,0,0.07
0,0,0.0,0,0,0.019599999999999992,0,0.07
0,0,0.0,1,1,0.17160000000000003,0,0.07
0,0,0.0,1,0,0.1824,0,0.07
0,0,0.009899999999999999,1,1,0.0564,0,0.07
0,0,0.0,1,0,0.0736,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,1,1,0.06510000000000002,0,0.07
0,0,0.0,0,0,0.0,0,0.07
0,0,0.009899999999999997,1,1,0.0,0,0.07
0,0,0.0,0,0,0.1971,0,0.07
0,0,0.0,1,1,0.22749999999999995,0,0.07
0,0,0.0,0,0,0.1924,0,0.07
0,0,0.0,1,1,0.0,0,0.07
0,0,0.0,1,1,0.019599999999999992,0,0.07
0,0,0.0,0,0,0.06509999999999999,0,0.07
0,0,0.0,1,1,0.1131,0,0.07
0,0,0.0,0,0,0.009899999999999997,0,0.07
0,0,0.0,1,1,0.09790000000000001,0,0.07
0,0,0.0,1,1,0.1539,0,0.07
0,0,0.019599999999999996,1,1,0.047500000000000035,0,0.07
0,0,0.0,0,0,0.24839999999999995,0,0.07
0,0,0.0,1,1,0.15389999999999998,0,0.07
0,0,0.0,0,0,0.1539,0,0.07
0,0,0.0,1,1,0.1411,0,0.07
0,0,0.0475,1,1,0.0,0,0.07
0,0,0.0,0,0,0.17160000000000003,0,0.07
0,0,0.0,0,0,0.24909999999999993,0,0.07
1,0,0.1771,1,1,0.0,0,0.07
1,1,0.0,0,0,0.05639999999999998,1,0.07
1,1,0.1924,1,1,0.0,1,0.07
0,1,0.2176,0,0,0.0,1,0.07
0,1,0.24360000000000007,0,0,0.0,1,0.07
1,1,0.0,1,1,0.0291,1,0.07
1,1,0.0,1,0,0.24360000000000007,1,0.07
1,1,0.0,0,0,0.18240000000000006,1,0.07
1,1,0.0,0,0,0.009899999999999999,1,0.07
1,1,0.0,0,0,0.009899999999999999,1,0.07
1,1,0.0,0,0,0.029100000000000004,1,0.07
1,1,0.0,0,0,0.15389999999999998,1,0.07
1,1,0.0,0,0,0.16000000000000003,1,0.07
1,1,0.0,0,0,0.038400000000000004,1,0.07
1,1,0.0,0,0,0.24000000000000005,1,0.07
1,1,0.0,0,0,0.08190000000000001,1,0.07
1,1,0.0,0,0,0.009899999999999997,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.0,0,0,0.019599999999999992,1,0.07
1,1,0.0,1,1,0.1411,1,0.07
1,1,0.2275,0,0,0.0,1,0.07
0,0,0.009899999999999999,0,0,0.1875,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.0,0,0,0.019599999999999992,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.0,1,1,0.029100000000000004,1,0.07
1,1,0.009899999999999999,0,0,0.0,1,0.07
1,1,0.0,1,0,0.17160000000000003,1,0.07
0,1,0.06510000000000002,0,0,0.0,1,0.07
1,1,0.0,0,0,0.1275,1,0.07
1,1,0.1476,0,0,0.0,1,0.07
1,1,0.0,1,0,0.1344,1,0.07
1,1,0.0,1,1,0.0736,1,0.07
1,1,0.0,1,0,0.17160000000000003,1,0.07
1,1,0.11309999999999999,0,0,0.0,1,0.07
1,1,0.09790000000000001,0,0,0.0,1,0.07
1,1,0.019599999999999992,0,0,0.0,1,0.07
1,1,0.0,0,0,0.1275,1,0.07
1,1,0.0,1,1,0.2059,1,0.07
0,0,0.24909999999999993,0,0,0.0,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.047500000000000014,0,0,0.0,1,0.07
1,1,0.0,1,1,0.13440000000000002,1,0.07
1,1,0.0,0,0,0.2379,1,0.07
0,1,0.0,0,0,0.009899999999999997,1,0.07
1,1,0.0,0,0,0.0736,1,0.07
1,1,0.0,0,0,0.056399999999999985,1,0.07
1,1,0.0,0,0,0.03840000000000001,1,0.07
1,1,0.0,1,0,0.16000000000000003,1,0.07
1,1,0.0,0,0,0.20999999999999994,1,0.07
1,1,0.0,1,1,0.009899999999999997,1,0.07
1,1,0.0,1,1,0.1875,1,0.07
1,1,0.0,1,1,0.0,1,0.07
1,1,0.0,1,1,0.0,1,0.07
1,1,0.0,1,1,0.0,1,0.07
1,1,0.0,1,1,0.009899999999999999,1,0.07
1,1,0.0,1,1,0.09789999999999999,1,0.07
1,1,0.0,0,1,0.16000000000000003,1,0.07
1,1,0.047500000000000014,0,0,0.0,1,0.07
1,1,0.0,0,0,0.009899999999999999,1,0.07
