standard_pred,mc_pred,mc_conf,cnn_adv,mc_adv,mc_conf,truth,epsilon
1,0,0.03840000000000001,1,1,0.24509999999999996,0,0.3
0,0,0.047499999999999994,1,1,0.2059,0,0.3
0,0,0.0,0,0,0.20159999999999992,0,0.3
1,1,0.0,0,0,0.009899999999999997,0,0.3
1,0,0.2379,0,0,0.22109999999999996,0,0.3
0,0,0.0,0,1,0.21389999999999998,0,0.3
0,0,0.038400000000000004,1,1,0.16,0,0.3
0,0,0.0,0,0,0.16000000000000003,0,0.3
0,0,0.0,1,0,0.23309999999999995,0,0.3
0,0,0.0,1,0,0.2275,0,0.3
0,0,0.0,1,0,0.1824,0,0.3
0,0,0.0,0,0,0.1771,0,0.3
0,0,0.0,0,0,0.14110000000000003,0,0.3
0,0,0.009899999999999999,0,1,0.24839999999999995,0,0.3
0,0,0.1824,0,1,0.2379,0,0.3
0,0,0.0,0,0,0.20159999999999997,0,0.3
0,0,0.10559999999999999,1,1,0.24509999999999996,0,0.3
0,0,0.0,0,0,0.0736,0,0.3
0,0,0.0,0,0,0.06509999999999999,0,0.3
0,0,0.2175999999999999,1,1,0.13440000000000002,0,0.3
0,0,0.0,0,0,0.08190000000000004,0,0.3
0,0,0.0,0,0,0.0736,0,0.3
0,0,0.0,0,0,0.09790000000000003,0,0.3
0,0,0.0,0,0,0.029100000000000004,0,0.3
0,0,0.0,0,0,0.038400000000000004,0,0.3
0,0,0.1056,0,1,0.21389999999999992,0,0.3
0,0,0.009899999999999997,0,0,0.24360000000000007,0,0.3
0,0,0.0,0,1,0.2418999999999999,0,0.3
0,0,0.009899999999999999,0,0,0.22109999999999996,0,0.3
0,0,0.0,1,0,0.19710000000000005,0,0.3
0,0,0.0,0,0,0.08190000000000001,0,0.3
0,0,0.0,0,0,0.047499999999999994,0,0.3
0,0,0.0,0,0,0.019599999999999996,0,0.3
0,0,0.0,0,0,0.009899999999999997,0,0.3
0,0,0.0,0,0,0.2175999999999999,0,0.3
0,0,0.0,1,1,0.24989999999999996,0,0.3
0,0,0.009899999999999997,0,0,0.24,0,0.3
0,0,0.0,0,0,0.1659,0,0.3
0,0,0.0,1,0,0.20590000000000003,0,0.3
0,0,0.13440000000000002,0,1,0.22440000000000004,0,0.3
1,0,0.16000000000000003,0,0,0.0,0,0.3
0,0,0.0,0,0,0.056399999999999985,0,0.3
0,0,0.09,0,0,0.1875,0,0.3
0,0,0.0,0,0,0.0,0,0.3
0,0,0.0,0,0,0.0,0,0.3
0,0,0.0,0,0,0.0384,0,0.3
0,0,0.0,0,0,0.10559999999999999,0,0.3
0,0,0.0,0,0,0.056399999999999985,0,0.3
0,0,0.0,0,0,0.029100000000000004,0,0.3
0,0,0.0,0,0,0.038400000000000004,0,0.3
0,0,0.0,0,0,0.019599999999999996,0,0.3
0,0,0.0,1,0,0.16000000000000003,0,0.3
0,0,0.0,0,0,0.1056,0,0.3
0,0,0.0,1,0,0.15389999999999998,0,0.3
0,0,0.0,0,0,0.2304,0,0.3
0,0,0.0,0,0,0.12040000000000001,0,0.3
0,0,0.0,1,1,0.24909999999999993,0,0.3
0,0,0.0,1,0,0.2379,0,0.3
0,0,0.0,1,1,0.19710000000000005,0,0.3
0,0,0.0,1,1,0.23560000000000006,0,0.3
0,0,0.0,0,0,0.1204,0,0.3
0,1,0.1824,0,0,0.1411,0,0.3
0,0,0.0,0,0,0.2175999999999999,0,0.3
0,0,0.0,1,0,0.20999999999999996,0,0.3
