standard_pred,mc_pred,mc_conf,cnn_adv,mc_adv,mc_conf,truth,epsilon
0,0,0.22109999999999996,1,1,0.009899999999999999,0,0.8
0,1,0.20999999999999996,1,1,0.02910000000000001,0,0.8
1,1,0.2211,1,1,0.019599999999999992,0,0.8
1,1,0.009899999999999999,1,1,0.029100000000000004,0,0.8
0,0,0.2379,1,1,0.0,0,0.8
0,0,0.19240000000000002,1,1,0.019599999999999996,0,0.8
0,0,0.04750000000000001,1,1,0.009899999999999997,0,0.8
1,1,0.15389999999999998,1,1,0.019599999999999992,0,0.8
1,1,0.24360000000000007,1,1,0.019599999999999996,0,0.8
1,1,0.06510000000000002,1,1,0.019599999999999996,0,0.8
1,1,0.24909999999999996,1,1,0.019599999999999996,0,0.8
1,1,0.0,1,1,0.019599999999999992,0,0.8
1,0,0.25,1,1,0.0,0,0.8
1,1,0.12039999999999998,1,1,0.009899999999999999,0,0.8
1,1,0.0,1,1,0.0564,0,0.8
1,1,0.009899999999999999,1,1,0.0,0,0.8
1,1,0.0,1,1,0.009899999999999999,0,0.8
0,1,0.2059,1,1,0.019599999999999996,0,0.8
0,0,0.0,1,1,0.009899999999999999,0,0.8
1,1,0.1771,1,1,0.019599999999999992,0,0.8
1,1,0.0,1,1,0.0,0,0.8
1,1,0.0564,1,1,0.029100000000000004,0,0.8
1,1,0.20159999999999992,1,1,0.0,0,0.8
0,0,0.16000000000000003,1,1,0.029100000000000004,0,0.8
1,1,0.22109999999999994,1,1,0.0291,0,0.8
1,1,0.24989999999999996,1,1,0.0,0,0.8
1,1,0.0736,1,1,0.04750000000000001,0,0.8
0,0,0.17160000000000003,1,1,0.0,0,0.8
0,1,0.24509999999999996,1,1,0.019599999999999996,0,0.8
1,1,0.019599999999999992,1,1,0.019599999999999996,0,0.8
1,1,0.1131,1,1,0.009899999999999999,0,0.8
1,1,0.08190000000000001,1,1,0.019599999999999996,0,0.8
1,1,0.009899999999999999,1,1,0.019599999999999996,0,0.8
0,0,0.24750000000000008,1,1,0.029100000000000004,0,0.8
1,1,0.019599999999999996,1,1,0.029100000000000004,0,0.8
0,0,0.056400000000000006,1,1,0.019599999999999996,0,0.8
0,0,0.0,1,1,0.019599999999999996,0,0.8
0,0,0.14760000000000006,1,1,0.0,0,0.8
0,0,0.009899999999999999,1,1,0.009899999999999999,0,0.8
1,1,0.029100000000000004,1,1,0.029100000000000004,0,0.8
1,1,0.1275,1,1,0.009899999999999999,0,0.8
0,0,0.1771,1,1,0.029100000000000004,0,0.8
0,0,0.047499999999999994,1,1,0.009899999999999999,0,0.8
0,0,0.009899999999999999,1,1,0.009899999999999999,0,0.8
1,1,0.09,1,1,0.01959999999999999,0,0.8
1,1,0.0,1,1,0.029100000000000004,0,0.8
1,1,0.0,1,1,0.009899999999999997,0,0.8
1,1,0.0,1,1,0.009899999999999997,0,0.8
1,1,0.12750000000000003,1,1,0.0,0,0.8
1,1,0.0,1,1,0.009899999999999999,0,0.8
1,1,0.2176,1,1,0.019599999999999996,0,0.8
