,Original Prediction,Original Confidence,Adversary Prediction,Adversary Confidence,Truth
0,4,0.0006616283790208399,8,0.0010394247947260737,4
1,9,0.006307526025921106,8,0.0008683935739099979,9
2,3,0.0006522772600874305,8,0.001035668421536684,3
3,4,0.005147729534655809,8,0.001869657775387168,4
4,7,0.0014434474287554622,8,0.0011707156663760543,7
5,5,0.00441807322204113,8,0.0006681923987343907,5
6,6,0.00236397422850132,8,0.0015713166212663054,6
7,0,0.003989527467638254,8,0.0012227566912770271,0
8,3,0.002794447122141719,8,0.0021235565654933453,3
9,3,0.0010042238282039762,8,0.0015268181450664997,3
10,3,0.0013716437388211489,8,0.0009171422570943832,3
11,3,0.0015152564737945795,8,0.0012453797971829772,3
12,4,0.0018731539603322744,8,0.0010440931655466557,4
13,9,0.002572104334831238,8,0.0012374696088954806,9
14,4,0.00014686331269331276,8,0.0009547977824695408,4
15,9,0.0024184640496969223,8,0.0010157368378713727,9
16,2,0.0012258009519428015,8,0.0010160645470023155,2
17,3,0.0011289824033156037,8,0.001154728583060205,3
18,5,0.00014594505773857236,8,0.001063087722286582,5
19,6,0.002098282566294074,8,0.0008483887650072575,6
20,5,0.0015878875274211168,8,0.0010636484948918223,5
21,9,0.0005913459463045001,8,0.0009997463785111904,9
22,3,0.0009014947572723031,8,0.001180203165858984,3
23,9,0.003665159223601222,8,0.0016191467875614762,9
24,5,0.0005662311450578272,8,0.0009303974802605808,5
25,3,2.858651896531228e-05,8,0.0010437567252665758,3
26,1,0.00036550077493302524,8,0.001011553918942809,1
27,5,0.001883807242847979,8,0.0008634153055027127,5
28,1,0.00011257869482506067,8,0.0012121167965233326,1
29,4,0.0006101925973780453,8,0.0011990151833742857,4
30,9,0.0026145917363464832,8,0.0009082682663574815,9
31,3,0.001190423732623458,8,0.0016938268672674894,3
32,6,0.00033004541182890534,8,0.0012885916512459517,6
33,8,0.019415680319070816,8,0.0032241432927548885,8
34,0,0.017907870933413506,8,0.0019564093090593815,0
35,3,0.0005642116302624345,8,0.0011005111737176776,3
36,1,0.0010162382386624813,8,0.0011670086532831192,1
37,1,1.77723886736203e-05,8,0.0008295051520690322,1
38,0,0.0008613101090304554,8,0.002455474343150854,0
39,1,0.0006521436735056341,8,0.0010382358450442553,1
40,0,0.0010531583102419972,8,0.0017247784417122602,0
41,9,0.00030919586424715817,8,0.001249767025001347,9
42,0,0.008600400760769844,8,0.0012183263897895813,0
43,4,0.002156465081498027,8,0.0019226570148020983,4
44,7,0.000913773663341999,8,0.0007984184776432812,7
45,4,0.0015012894291430712,8,0.0010905915405601263,4
46,9,0.006390399299561977,8,0.0017642680322751403,9
47,8,0.0026217096019536257,8,0.0012577979359775782,8
48,7,0.0021211968269199133,8,0.0018084610346704721,7
49,0,0.0019193468615412712,8,0.0012475349940359592,0
50,3,0.001403252244926989,8,0.0011677687289193273,3
51,8,0.0035473823081701994,8,0.0010148687288165092,8
52,5,0.0023725656792521477,8,0.001224459265358746,5
53,8,0.008340408094227314,8,0.0009080688469111919,8
54,7,0.0126339765265584,8,0.0021332199685275555,7
55,1,0.0010995389893651009,8,0.0007537136552855372,1
56,6,0.0011904563289135695,8,0.000991692766547203,6
57,3,0.0008859391091391444,8,0.0011823639506474137,3
58,3,0.0022571764420717955,8,0.001187055604532361,3
59,9,0.0005084540462121367,8,0.000812917307484895,9
60,3,2.597841012175195e-05,8,0.0017870193114504218,3
61,3,0.00045174011029303074,8,0.0010662507265806198,3
62,0,0.0030494467355310917,8,0.002390753012150526,0
63,3,0.002122255275025964,8,0.0010183833073824644,3
64,0,0.00015749690646771342,8,0.0016027508536353707,0
65,1,0.0008421270176768303,8,0.001301927724853158,1
66,8,0.00369359296746552,8,0.0015789037570357323,8
67,4,0.0017041793325915933,8,0.0010224360739812255,4
68,2,0.00014556077076122165,8,0.001470169867388904,2
69,4,0.013750189915299416,8,0.0008085189620032907,4
70,2,0.00035714879049919546,8,0.0013607981381937861,2
71,8,0.002333299722522497,8,0.0012537991860881448,8
72,6,0.0007998154615052044,8,0.00122982042375952,6
73,4,0.020838778465986252,8,0.0006596440216526389,4
74,4,0.0037519740872085094,8,0.0013245942536741495,4
75,6,0.0013700793497264385,8,0.0008216205751523376,6
76,8,0.004772774409502745,8,0.001551267458125949,8
77,1,2.721888267842587e-05,8,0.0012751270551234484,1
78,1,0.000928651075810194,8,0.001054384047165513,1
79,3,0.013062755577266216,8,0.0018136037979274988,3
80,0,0.0012004028540104628,8,0.0010524297831580043,0
81,6,0.020350389182567596,8,0.002297844272106886,6
82,2,0.0022739123087376356,8,0.001149964751675725,2
83,2,0.031450096517801285,8,0.0012733665062114596,2
84,9,0.007017639931291342,8,0.0015930740628391504,9
85,2,0.0014767707325518131,8,0.0009851731592789292,2
86,1,0.008922217413783073,8,0.0014642942696809769,1
87,9,0.0016966257244348526,8,0.0017824210226535797,9
88,1,0.0007395626744255424,8,0.0009619180927984416,1
89,3,0.0005874935304746032,8,0.0016342329327017069,3
90,7,0.020817190408706665,8,0.0011600126745179296,7
91,0,0.0005929587059654295,8,0.0015487840864807367,0
92,2,0.0011198099236935377,8,0.001925560412928462,2
93,9,0.002122151665389538,8,0.0013899968471378088,9
94,6,5.119781053508632e-05,8,0.0010093848686665297,6
95,5,0.0002654055424500257,8,0.0012187536340206861,5
96,4,0.0007441383204422891,8,0.0007328168721869588,4
97,1,0.0023359409533441067,8,0.0007942406227812171,1
98,8,0.00702348118647933,8,0.0012389172334223986,8
99,2,0.005001368001103401,8,0.003619797993451357,2
100,2,0.00025554976309649646,8,0.0011387912090867758,2
101,2,8.497385715600103e-05,8,0.0007661745767109096,2
102,5,0.0003294139460194856,8,0.002779077971354127,5
103,4,0.0010468765394762158,8,0.0012161898193880916,4
104,1,0.0012159752659499645,8,0.0009161072666756809,1
105,0,0.002682547550648451,8,0.001553503330796957,0
106,4,0.006443681661039591,8,0.00141516188159585,4
107,3,0.006808100733906031,8,0.001381131005473435,3
108,1,0.00035396352177485824,8,0.0012900559231638908,1
109,7,0.0012880762806162238,8,0.0012633608421310782,7
110,3,0.000482402800116688,8,0.0006800105329602957,3
111,0,0.001358714303933084,8,0.0015301461098715663,0
112,8,0.0010888155084103346,8,0.0013379560550674796,8
113,3,0.00027213196153752506,8,0.001225281273946166,3
114,8,0.0001833411370171234,8,0.0014431424206122756,8
115,2,0.005522055551409721,8,0.0014219153672456741,2
116,6,0.00012424952001310885,8,0.0009723187540657818,6
117,9,0.0001075553591363132,8,0.0010505171958357096,9
118,7,0.0002839297812897712,8,0.0017335619777441025,7
119,2,0.0006665406981483102,8,0.0030373416375368834,2
120,6,0.013706048019230366,8,0.0016353384125977755,6
121,7,0.00035949726589024067,8,0.0012285687262192369,7
122,8,0.0017921378603205085,8,0.0011571922805160284,8
123,6,0.0007085616234689951,8,0.0012354388600215316,6
124,9,0.0008384635439142585,8,0.00097343121888116,9
125,4,0.0038291439414024353,8,0.000909920665435493,4
126,5,0.006245449185371399,8,0.001963274087756872,5
127,4,0.001188031048513949,8,0.0011719223111867905,4
128,3,0.0006050026859156787,9,0.0014680115273222327,3
129,1,0.00022877655283082277,8,0.000883552129380405,1
130,4,0.001872709603048861,8,0.002014299388974905,4
131,3,0.0006729108281433582,8,0.0012701572850346565,3
132,5,0.0003803511499427259,8,0.0008019028464332223,5
133,8,0.0008242744952440262,8,0.0009544697823002934,8
134,6,0.003900430630892515,8,0.002721642842516303,6
135,6,0.00027495130780152977,8,0.0012126774527132511,6
136,2,0.003855108516290784,8,0.0014398691710084677,2
137,7,0.01101625245064497,8,0.0016417143633589149,7
138,2,0.001203486928716302,8,0.0008411216549575329,2
139,4,0.0001251685171155259,8,0.0013673158828169107,4
140,0,0.00048586883349344134,8,0.0017109729815274477,0
141,7,0.00017949506582226604,8,0.002005387796089053,7
142,3,0.0047141872346401215,8,0.001324557000771165,3
143,3,0.022826706990599632,8,0.0014851370360702276,3
144,5,0.0021585626527667046,8,0.0009823056170716882,5
145,8,0.008851910009980202,8,0.0009042889578267932,8
146,3,0.0004969628062099218,8,0.0014810636639595032,3
147,4,0.00509882066398859,8,0.0016511164139956236,4
148,9,0.0017780143534764647,8,0.0016976051265373826,9
149,0,0.00030411375337280333,8,0.0023737854789942503,0
150,1,0.0174400694668293,8,0.0009867504704743624,1
151,5,0.0002880598767660558,8,0.0008068889146670699,5
152,6,0.0016650162870064378,8,0.0013553318567574024,6
153,0,0.0014205926563590765,8,0.0009957195725291967,0
154,1,0.00030996446730569005,8,0.001030906685627997,1
155,3,0.0016424551140516996,8,0.0012971863616257906,3
156,4,0.00016034940199460834,8,0.0006786166923120618,4
157,4,0.009456674568355083,8,0.0007191147888079286,4
158,9,0.001682523638010025,8,0.0009083085460588336,9
