,Original Prediction,Original Confidence,Adversary Prediction,Adversary Confidence,Truth
0,4,0.0006616283790208399,8,0.0012094987323507667,4
1,9,0.006307526025921106,8,0.0009537721052765846,9
2,3,0.0006522772600874305,8,0.0011844078544527292,3
3,4,0.005147729534655809,8,0.0017544925212860107,4
4,7,0.0014434474287554622,8,0.0012031960068270564,7
5,5,0.00441807322204113,0,0.0006579442415386438,5
6,6,0.00236397422850132,8,0.001992963720113039,6
7,0,0.003989527467638254,8,0.0013544723624363542,0
8,3,0.002794447122141719,8,0.0025998945347964764,3
9,3,0.0010042238282039762,9,0.0023679048754274845,3
10,3,0.0013716437388211489,8,0.0009038288262672722,3
11,3,0.0015152564737945795,8,0.0012898275163024664,3
12,4,0.0018731539603322744,8,0.0010490035638213158,4
13,9,0.002572104334831238,8,0.0011710034450516105,9
14,4,0.00014686331269331276,8,0.0010422589257359505,4
15,9,0.0024184640496969223,8,0.0011167038464918733,9
16,2,0.0012258009519428015,8,0.0013700334820896387,2
17,3,0.0011289824033156037,0,0.001581736491061747,3
18,5,0.00014594505773857236,8,0.0012549543753266335,5
19,6,0.002098282566294074,8,0.0008972681825980544,6
20,5,0.0015878875274211168,8,0.0011024530977010727,5
21,9,0.0005913459463045001,8,0.0010745308827608824,9
22,3,0.0009014947572723031,8,0.0013106450205668807,3
23,9,0.003665159223601222,8,0.001581469550728798,9
24,5,0.0005662311450578272,8,0.0011601813603192568,5
25,3,2.858651896531228e-05,8,0.0011261195177212358,3
26,1,0.00036550077493302524,8,0.0012324523413553834,1
27,5,0.001883807242847979,8,0.001332211890257895,5
28,1,0.00011257869482506067,8,0.0012831913772970438,1
29,4,0.0006101925973780453,8,0.0010598825756460428,4
30,9,0.0026145917363464832,8,0.0010075985919684172,9
31,3,0.001190423732623458,8,0.001926338649354875,3
32,6,0.00033004541182890534,8,0.0013111032312735915,6
33,8,0.019415680319070816,8,0.0037671360187232494,8
34,0,0.017907870933413506,8,0.002579127438366413,0
35,3,0.0005642116302624345,9,0.0010140127269551158,3
36,1,0.0010162382386624813,8,0.0014121781568974257,1
37,1,1.77723886736203e-05,0,0.0008870094898156822,1
38,0,0.0008613101090304554,8,0.002865548012778163,0
39,1,0.0006521436735056341,8,0.0010270084021613002,1
40,0,0.0010531583102419972,8,0.002206890843808651,0
41,9,0.00030919586424715817,8,0.0014069649623706937,9
42,0,0.008600400760769844,8,0.0016164543339982629,0
43,4,0.002156465081498027,8,0.001946652657352388,4
44,7,0.000913773663341999,8,0.0009157211752608418,7
45,4,0.0015012894291430712,8,0.001241297577507794,4
46,9,0.006390399299561977,8,0.0023374196607619524,9
47,8,0.0026217096019536257,8,0.0017002755776047707,8
48,7,0.0021211968269199133,8,0.0022120566572993994,7
49,0,0.0019193468615412712,8,0.0010725823231041431,0
50,3,0.001403252244926989,8,0.0010767873609438539,3
51,8,0.0035473823081701994,8,0.0011205405462533236,8
52,5,0.0023725656792521477,8,0.0012396114179864526,5
53,8,0.008340408094227314,8,0.001011906424537301,8
54,7,0.0126339765265584,8,0.0019770688377320766,7
55,1,0.0010995389893651009,8,0.0006988818058744073,1
56,6,0.0011904563289135695,0,0.0012191461864858866,6
57,3,0.0008859391091391444,8,0.001222050515934825,3
58,3,0.0022571764420717955,8,0.001698445761576295,3
59,9,0.0005084540462121367,8,0.0008359982748515904,9
60,3,2.597841012175195e-05,8,0.0019890437833964825,3
61,3,0.00045174011029303074,8,0.0010015394072979689,3
62,0,0.0030494467355310917,8,0.003723735688254237,0
63,3,0.002122255275025964,0,0.001065574586391449,3
64,0,0.00015749690646771342,8,0.0017237847205251455,0
65,1,0.0008421270176768303,0,0.0017093138303607702,1
66,8,0.00369359296746552,8,0.0017570530762895942,8
67,4,0.0017041793325915933,8,0.0011204011971130967,4
68,2,0.00014556077076122165,8,0.0012946863425895572,2
69,4,0.013750189915299416,8,0.00070418999530375,4
70,2,0.00035714879049919546,8,0.0014252153923735023,2
71,8,0.002333299722522497,8,0.0013426875229924917,8
72,6,0.0007998154615052044,8,0.0014588800258934498,6
73,4,0.020838778465986252,0,0.0008102208375930786,4
74,4,0.0037519740872085094,8,0.0015115654096007347,4
75,6,0.0013700793497264385,8,0.0008479788666591048,6
76,8,0.004772774409502745,8,0.001621911651454866,8
77,1,2.721888267842587e-05,8,0.0015275420155376196,1
78,1,0.000928651075810194,8,0.001222190330736339,1
79,3,0.013062755577266216,8,0.0024066346231848,3
80,0,0.0012004028540104628,8,0.0010458535980433226,0
81,6,0.020350389182567596,8,0.0027571585960686207,6
82,2,0.0022739123087376356,8,0.0015203204238787293,2
83,2,0.031450096517801285,8,0.0016903455834835768,2
84,9,0.007017639931291342,8,0.001509430119767785,9
85,2,0.0014767707325518131,8,0.0012297627981752157,2
86,1,0.008922217413783073,8,0.0015486233169212937,1
87,9,0.0016966257244348526,8,0.001867333659902215,9
88,1,0.0007395626744255424,4,0.0010125585831701756,1
89,3,0.0005874935304746032,8,0.0022026090882718563,3
90,7,0.020817190408706665,8,0.0012901114532724023,7
91,0,0.0005929587059654295,8,0.002012979704886675,0
92,2,0.0011198099236935377,8,0.002184262964874506,2
93,9,0.002122151665389538,8,0.0015859327977523208,9
94,6,5.119781053508632e-05,8,0.0012142815394327044,6
95,5,0.0002654055424500257,8,0.0013244404690340161,5
96,4,0.0007441383204422891,8,0.0006734692142345011,4
97,1,0.0023359409533441067,8,0.0008062471752054989,1
98,8,0.00702348118647933,8,0.0010808305814862251,8
99,2,0.005001368001103401,8,0.0041947076097130775,2
100,2,0.00025554976309649646,8,0.0008512036874890327,2
101,2,8.497385715600103e-05,8,0.0007734332466498017,2
102,5,0.0003294139460194856,8,0.003099770750850439,5
103,4,0.0010468765394762158,8,0.0013522861991077662,4
104,1,0.0012159752659499645,8,0.0009838927071541548,1
105,0,0.002682547550648451,8,0.002022754866629839,0
106,4,0.006443681661039591,8,0.0014149451162666082,4
107,3,0.006808100733906031,8,0.0015503035392612219,3
108,1,0.00035396352177485824,8,0.0014123747823759913,1
109,7,0.0012880762806162238,8,0.0016722904983907938,7
110,3,0.000482402800116688,0,0.000846116803586483,3
