standard_pred,mc_pred,mc_conf,truth
0,0,0.22109999999999996,0
1,1,0.24000000000000005,0
0,1,0.1971,0
1,1,0.009899999999999999,0
1,0,0.24839999999999995,0
1,0,0.1971,0
0,0,0.009899999999999997,0
1,1,0.16,0
0,1,0.2379,0
1,1,0.08999999999999998,0
0,0,0.24189999999999998,0
1,1,0.019599999999999992,0
1,0,0.24959999999999993,0
1,1,0.04750000000000003,0
1,1,0.0,0
1,1,0.029100000000000004,0
1,1,0.0,0
0,1,0.20999999999999996,0
0,0,0.009899999999999997,0
1,1,0.2059,0
1,1,0.0,0
1,1,0.0384,0
1,1,0.15389999999999998,0
0,0,0.20999999999999994,0
1,1,0.21389999999999998,0
0,0,0.2499,0
1,1,0.12039999999999995,0
0,0,0.1659,0
1,0,0.24640000000000004,0
1,1,0.009899999999999997,0
0,1,0.11309999999999999,0
1,1,0.13440000000000002,0
1,1,0.056400000000000006,0
0,0,0.24000000000000005,0
1,1,0.009899999999999999,0
0,0,0.0384,0
0,0,0.0,0
0,0,0.1204,0
0,0,0.038400000000000004,0
1,1,0.02910000000000001,0
0,1,0.1476,0
0,0,0.14760000000000006,0
0,0,0.0475,0
0,0,0.019599999999999992,0
1,1,0.11309999999999999,0
1,1,0.019599999999999996,0
1,1,0.0,0
1,1,0.0,0
1,1,0.0736,0
1,1,0.0,0
1,1,0.24000000000000005,0
0,0,0.10560000000000003,0
1,1,0.009899999999999999,0
0,0,0.2059,0
1,1,0.13440000000000002,0
0,0,0.21759999999999993,0
1,1,0.009899999999999997,0
1,1,0.1875,0
1,0,0.20590000000000003,0
1,1,0.04750000000000003,0
0,0,0.06509999999999999,0
1,1,0.019599999999999996,0
1,1,0.1204,0
0,0,0.0,0
0,0,0.17160000000000003,0
0,0,0.056399999999999985,0
0,1,0.21759999999999993,0
1,1,0.047500000000000014,0
1,1,0.0564,0
0,0,0.0,0
0,0,0.1204,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.06509999999999999,0
0,0,0.0475,0
0,0,0.13440000000000002,0
0,0,0.009899999999999999,0
0,0,0.09,0
0,0,0.09,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.0291,0
0,0,0.0291,0
0,0,0.0,0
0,0,0.10559999999999999,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.0,0
1,0,0.22749999999999995,0
0,0,0.0,0
0,1,0.24509999999999998,0
0,1,0.24989999999999996,0
0,0,0.009899999999999997,0
0,0,0.1204,0
1,1,0.03839999999999999,0
0,0,0.009899999999999999,0
0,0,0.009899999999999999,0
0,0,0.019599999999999992,0
1,0,0.009899999999999999,0
0,1,0.24909999999999993,0
0,0,0.009899999999999999,0
0,1,0.2379,0
0,1,0.23790000000000003,0
0,0,0.009899999999999997,0
0,0,0.0384,0
0,0,0.019599999999999996,0
0,0,0.23560000000000006,0
0,0,0.24750000000000008,0
0,0,0.019599999999999996,0
0,0,0.056399999999999985,0
0,0,0.0,0
0,1,0.2490999999999999,0
0,0,0.0,0
0,0,0.0,0
1,1,0.24509999999999996,0
0,0,0.06509999999999999,0
0,0,0.019599999999999996,0
0,0,0.019599999999999992,0
0,0,0.009899999999999999,0
0,0,0.029099999999999994,0
0,0,0.0,0
0,0,0.1824,0
1,0,0.2304,0
0,0,0.0,0
1,1,0.2211,0
0,0,0.009899999999999999,0
0,0,0.0736,0
0,0,0.0,0
0,0,0.0,0
0,0,0.19240000000000002,0
0,0,0.0,0
0,0,0.02910000000000001,0
0,0,0.0,0
0,0,0.0,0
0,0,0.09790000000000003,0
0,0,0.0,0
1,1,0.04750000000000001,0
0,0,0.1824,0
0,0,0.056400000000000006,0
0,0,0.009899999999999999,0
0,0,0.0564,0
0,0,0.0,0
0,0,0.0,0
0,0,0.038400000000000004,0
0,0,0.019599999999999996,0
0,0,0.019599999999999992,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,0.15389999999999998,0
0,0,0.047499999999999994,0
0,0,0.0,0
0,0,0.0384,0
0,0,0.0,0
1,1,0.1539,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0475,0
0,0,0.029099999999999997,0
0,0,0.0384,0
0,0,0.056399999999999985,0
0,0,0.019599999999999992,0
0,0,0.20589999999999997,0
0,0,0.009899999999999999,0
1,0,0.24640000000000006,0
1,0,0.23560000000000003,0
0,0,0.0736,0
0,0,0.10559999999999999,0
0,0,0.009899999999999999,0
0,0,0.0,0
1,1,0.24189999999999998,0
0,0,0.0,0
0,0,0.08190000000000001,0
0,0,0.0,0
1,0,0.1971,0
0,1,0.0564,0
0,0,0.0736,0
0,0,0.019599999999999992,0
1,0,0.16000000000000003,0
0,0,0.0,0
0,0,0.1971,0
0,0,0.1539,0
0,0,0.0,0
0,0,0.019599999999999992,0
0,0,0.009899999999999999,0
0,0,0.09790000000000003,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.009899999999999997,0
0,0,0.03840000000000001,0
0,0,0.009899999999999997,0
0,0,0.09,0
0,0,0.22440000000000002,0
0,0,0.0475,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0475,0
1,0,0.1056,0
0,0,0.038400000000000004,0
0,0,0.0,0
0,0,0.14760000000000006,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.0291,0
0,0,0.0,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.24640000000000004,0
0,0,0.009899999999999997,0
0,1,0.1971,0
0,0,0.009899999999999997,0
0,0,0.0,0
0,0,0.0475,0
0,0,0.0,0
0,0,0.0,0
1,1,0.0,0
0,0,0.0475,0
0,0,0.009899999999999997,0
0,0,0.009899999999999999,0
0,0,0.009899999999999997,0
0,0,0.0,0
0,0,0.0,0
0,0,0.06509999999999999,0
1,0,0.24360000000000007,0
0,0,0.0,0
1,1,0.24959999999999996,0
0,0,0.056399999999999985,0
0,0,0.0,0
0,0,0.0,0
1,0,0.08190000000000001,0
0,0,0.08190000000000001,0
0,0,0.1971,0
1,1,0.1875,0
1,1,0.009899999999999997,0
0,0,0.0,0
0,0,0.1131,0
0,0,0.009899999999999999,0
0,0,0.0475,0
0,0,0.0,0
0,0,0.24989999999999996,0
0,0,0.019599999999999992,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0475,0
1,0,0.019599999999999992,0
0,0,0.009899999999999997,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.16589999999999996,0
0,0,0.0,0
0,0,0.0,0
0,0,0.019599999999999996,0
0,0,0.0,0
0,0,0.0,0
0,0,0.009899999999999999,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.13440000000000002,0
0,0,0.0,0
0,1,0.23560000000000003,0
0,0,0.029100000000000004,0
0,0,0.0,0
0,0,0.0,0
0,0,0.019599999999999996,0
0,0,0.0,0
1,0,0.056400000000000006,0
0,0,0.0,0
0,0,0.0564,0
